feature	coefficient
alfredo	-0.034166424902287586
almond	-0.02723558158825216
american	-0.01699073621801083
appetizer	0.12333761718250622
appetizers	-0.017949319586126642
apple	0.0009987566949981297
asiancuisine	0.0034030416330698768
asparagus	0.044513576488099275
avocado	0.07789756474614395
bacon	0.5901930712853869
baked	0.074117959866873
bakeddishes	-0.1282899917348457
bakery	-0.0038949151067531156
baking	-0.00590723778766819
beans	0.0
beef	0.0
bellpeppers	-0.020069319161134302
berries	0.0
blackbeans	-0.020069319161134302
blackvinegar	-0.03182592464476372
blueberry	-0.011244559170129113
boiledeggs	0.00969803613021876
bokchoy	0.00969803613021876
braided	-0.01040396415991879
bread	-0.011831150432063342
breaded	-0.012471570683431292
breakfast	0.04153031170862663
breakfastpastry	-0.00685507000098394
brioche	-0.019922246548458526
broiling	0.05376463941748737
brownies	0.0
brownsugar	-0.0034529329198743556
brunch	-0.007192647179584177
burger	0.09235016043130954
burritos	-0.08360360346969038
buttery	0.023094462127893865
cake	-0.015645586783437065
carrots	0.00969803613021876
casserole	0.004725633456454364
celebration	0.0
cheese	0.09890682230938738
cheesy	0.0947007357958018
cherry	0.015530346164716338
chicken	0.0434927333267222
chickpeas	0.09235016043130954
chilioil	0.03484122909092238
chilipowder	-0.020069319161134302
chinese	-0.00038325318789019246
chinesecookingwine	0.0666671537356861
chinesecuisine	-0.03182592464476372
chocolate	0.03494316990855027
chocolatechip	-0.04498675894376255
chocolatecroissant	-0.00685507000098394
christmas	0.009699955760462207
cilantro	0.03085667722387117
cinnamon	-0.004904902140518419
citrus	0.004849977880231106
classic	-0.043637320774687106
cloves	0.004451689614872485
cobbler	0.039429278862040645
cocoapowder	0.0
coffee	0.0005517208313910865
cold	-0.00038325318789019246
coldnoodles	-0.018901932659887412
comfortfood	-0.09061506953346705
condiment	-0.037097000943095024
cookies	0.08088695182754616
corn	0.0
cranberry	0.005354629071415827
creamcheese	-0.0029723602165543242
creamy	0.04546345691567456
crisp	-0.025600228071160937
crispy	0.082066912643467
croissant	0.0005517208313910865
croissants	-0.04199858847671324
crumble	-0.023598476321123548
crust	0.004451689614872485
cucumber	-0.018901932659887412
cumin	-0.020069319161134302
cupcakes	0.003481308180202015
custard	-0.026002473028097488
custardy	0.0130292767117631
customizable	0.038798333023064145
danish	-0.0029723602165543242
dashibroth	0.016263099428703753
dates	0.03827754613856611
decadent	-0.01040396415991879
dessert	0.04222938543589925
dinner	0.020165651372939842
dip	-0.051982308667852084
donuts	0.06191464413965183
easterneuropean	-0.01040396415991879
easy	0.017099173536975404
easydinner	0.0016659559716281356
egg	0.06734244867414976
eggs	-0.015273013606405574
eggwhites	0.011206443335726806
fajitaseasoning	0.012418902162454388
