recipe_slug	score_bound	reward
apple-crumble	3.7416573867739413	0.0
ma-la-chicken	3.596294389136314	0.4562370514107554
quesadillas	3.622107632939324	0.0
ramen	3.587646424467308	0.0
bacon-fried-rice	3.4368216884230387	1.0
chocolate-babka	3.5231458092129015	0.0
spamburger	3.4576634290389974	0.4746237945648343
pain-au-chocolat	3.4432548524847366	0.0
mushroom-quiche	3.391737668347047	0.0
bacon-wrapped-chicken	3.3518319524030225	1.0
nacho-fries	3.3913164423695505	0.0
cranberry-sauce	3.3184771957675183	0.0
asparagus-burger	3.274502938350979	0.0760572369609354
bacon-wrapped-asparagus	3.2243036299697656	1.0
dan-dan-noodles	3.166722492017463	0.0
cold-noodles-with-tomatoes	3.1435509025741672	0.0
guacamole	3.0741288928094415	0.0
bacon-wrapped-scallops	3.0685721423629775	1.0
breakfast-burritos	3.062985928723756	0.75233519552293
bacon-mac-and-cheese	3.071825958411408	1.0
apple-crisp	3.0705010844911134	0.0
brioche-bread	3.04800168955706	0.0
bacon-wrapped-shrimp-skewers	3.018690646618066	1.0
tamales	2.975364062093753	0.0
asparagus-quiche	2.966702437459062	0.0
apple-pie	2.9664976414719795	0.0
chicken-nuggets	2.953436565581141	0.9428882668727484
spam-musubi	2.928730749371372	0.0
strawberry-rhubarb-crisp	2.9160584878961404	0.0
sujebi	2.895522429789356	0.0
quiche-lorraine	2.8724675462240334	0.0
taco-salad	2.823089481365305	0.510354271398275
bacon-wrapped-dates	2.825006341157401	1.0
nachos	2.823371759417832	0.0
croissant-aux-amandes	2.700799509497947	0.0
chicken-fingers	2.6817495980846875	0.3321009260547467
souffle	2.6597116655672	0.7998540000931758
bacon-egg-muffins	2.6782044721891713	1.0
bacon-and-egg-breakfast-sandwich	2.6660617471094774	1.0
chocolate-peanut-butter-cake	2.6567577234555197	0.0
nacho-salad	2.6571072011699477	0.3465856064733719
spinach-quiche	2.6511143093268466	0.0
tacos	2.6497245603962742	0.584633952638912
maple-bacon-donuts	2.5766634037213834	1.0
soba-noodle-salad-with-peanut-dressing	2.5382645967399076	0.0061591810811514
maple-bacon-pancakes	2.5314971705201383	1.0
croissants	2.538719533526247	0.0
cherry-pie	2.5033964935549786	0.0
fajitas	2.4776484439447874	0.0
enchiladas	2.4692835897564045	0.0
ma-la-beef	2.42861250561663	0.0
bacon-chocolate-chip-cookies	2.4089873035150227	1.0
vanilla-souffle	2.4086744363398567	0.2786846093551508
danishes	2.402956357806516	0.0
cranberry-apple-crisp	2.388774496610544	0.0
brownies	2.3729495353682473	0.0
chiles-rellenos	2.3549531645266275	0.0
chicken-alfredo-lasagna	2.3506345716863506	0.8641216089072433
spinach-and-ricotta-lasagna	2.4193404902825	0.4060259074826304
classic-beef-lasagna	2.353610215896007	0.4384804802054396
loaded-nachos	2.347737194913136	0.0
falafel	2.312327270221259	0.0
tempura-udon	2.250281988652222	0.0
pickled-green-beans	2.2365964815228696	0.0
burritos	2.215194895239462	0.163667440393496
bacon-souffle	2.2027850474827124	1.0
brioche-bread-with-chocolate	2.177726804941876	0.0
fried-oysters	2.1534987926016025	0.0
cold-sesame-noodles	2.1417951480353374	0.0
peach-crisp	2.1278384350569883	0.0
peanut-butter-cupcakes	2.127308533023457	0.0
bolognese-sauce	2.106856491654461	0.0
pickled-asparagus	2.0978020313893477	0.0
almond-chip-cookies	2.0758672993816685	0.0
lasagna	2.070581056713575	0.0856407659151743
cranberry-relish	2.0220047317837864	0.0
cold-soba-noodles-with-tomato-and-cucumber	1.9673641002110003	0.0
peach-cobbler	1.9549392753474069	0.0
nacho-casserole	1.9190477427687431	0.0
french-toast	1.9117955232881916	0.0
berry-crisp	1.8791792351701535	0.0
udon	1.8787145879653282	0.0
pasta-primavera	1.8598531442905466	0.1219768410274798
nacho-dip	1.8553593626639193	0.0
spinach-and-feta-quiche	1.7681138459312091	0.0
pico-de-gallo	1.7651952683734304	0.0
almond-croissants	1.754921450454426	0.0
vegetarian-mushroom-lasagna	1.7371310682918293	0.5490231851469515
chocolate-croissants	1.6953466411748261	0.0
chocolate-cake	1.6462496662203638	0.0
blueberry-crumble	1.6286712512405241	0.0
peanut-butter-brownies	1.574262192408693	0.0
spinach-and-ricotta-stuffed-shells	1.516271903470022	0.0
cherry-cobbler	1.47603859728068	0.0
chocolate-souffle	1.4686203990466704	0.4180618902074934
cinnamon-babka	1.4280833199285745	0.0
blueberry-crisp	1.3253578510735402	0.0
butter-croissants	1.2250207485199887	0.0
vegetable-lasagna	1.1423875561942822	0.0998236437951974
berry-crumble	1.1054192206845954	0.0
